project_code,eBKPh_original,eBKPh_C,eBKPh_C01,eBKPh_C01_01,eBKPh_C01_02,eBKPh_C01_03,eBKPh_C02,eBKPh_C02_01,eBKPh_C02_02,eBKPh_C03,eBKPh_C03_01,eBKPh_C03_02,eBKPh_C04,eBKPh_C04_01,eBKPh_C04_02,eBKPh_C04_03,eBKPh_C04_04,eBKPh_C04_05,eBKPh_C04_06,eBKPh_C04_08,eBKPh_C05,eBKPh_C05_01,eBKPh_C05_02,eBKPh_D,eBKPh_D01,eBKPh_D01_01,eBKPh_D01_02,eBKPh_D01_03,eBKPh_D01_04,eBKPh_D01_05,eBKPh_D01_06,eBKPh_D01_07,eBKPh_D01_08,eBKPh_D01_09,eBKPh_D01_10,eBKPh_D01_11,eBKPh_D02,eBKPh_D03,eBKPh_D04,eBKPh_D05,eBKPh_D06,eBKPh_D07,eBKPh_D08,eBKPh_D08_05,eBKPh_D09,eBKPh_D10,eBKPh_D11,eBKPh_D12,eBKPh_D12_01,eBKPh_E,eBKPh_E01,eBKPh_E01_01,eBKPh_E01_02,eBKPh_E01_03,eBKPh_E02,eBKPh_E02_01,eBKPh_E02_02,eBKPh_E02_03,eBKPh_E02_06,eBKPh_E03,eBKPh_E03_01,eBKPh_E03_02,eBKPh_E03_03,eBKPh_E03_04,eBKPh_E03_05,eBKPh_F,eBKPh_F01,eBKPh_F01_02,eBKPh_F02,eBKPh_F02_01,eBKPh_F02_02,eBKPh_F02_03,eBKPh_G,eBKPh_G01,eBKPh_G01_01,eBKPh_G01_02,eBKPh_G01_03,eBKPh_G01_04,eBKPh_G01_05,eBKPh_G01_06,eBKPh_G02,eBKPh_G02_01,eBKPh_G02_02,eBKPh_G03,eBKPh_G03_02,eBKPh_G04,eBKPh_G04_01,eBKPh_G04_02,eBKPh_G05,eBKPh_G05_01,eBKPh_G05_02,eBKPh_G05_05,eBKPh_G05_06,eBKPh_G05_07,eBKPh_G06,eBKPh_G06_01,eBKPh_G06_03,eBKPh_G06_04
BRUT,Nicht klassifiziert,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHLI,"G05.05 Absturz-, Anprallschutzeinrichtung",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ADEM,Nicht klassifiziert,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHLI,"[E Äussere Wandbekleidung Gebäude, E02 Äussere Wandbekleidung über Terrain, E02.06 Aussen liegende Absturzsicherung]",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LUMU,Nicht klassifiziert,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BRUT,Nicht klassifiziert,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHLI,"[E Äussere Wandbekleidung Gebäude, E02 Äussere Wandbekleidung über Terrain, E02.06 Aussen liegende Absturzsicherung]",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GSRH,"[F Bedachung Gebäude (A), F01 Dachhaut, F01.02 Bedachung Flachdach, F02 Element zu Dach (B), F02.03 Schutzanlage zu Dach]",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ZUST,"[G02 Bodenbelag (B), G02.02 Bodenbelag (B)]",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ADEM,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
