n_features,last_feature_added,f1_macro
1,geom_layer_count,0.3127
2,geom_ratio_area_vol,0.4976
3,aabb_diagonal,0.5408
4,tfbb_ratio_02,0.5578
5,tfbb_extent_0,0.5729
6,topo_max_face_area,0.6052
7,aabb_max_z,0.6601
8,tfbb_sphericity,0.6536
9,topo_avg_face_area,0.6791
10,geom_z_max,0.6658
11,geom_centroid_z,0.6685
12,geom_z_min,0.6776
13,aabb_min_z,0.6576
14,geom_z_range,0.6518
15,geom_surface_area,0.6656
16,tfbb_extent_1,0.6579
17,tfbb_linearity,0.6492
18,geom_compactness,0.653
19,aabb_ratio_z_y,0.667
20,topo_face_count,0.6538
21,aabb_ratio_z_x,0.662
22,topo_genus,0.6608
23,geom_projected_area,0.6744
24,tfbb_extent_2,0.66
25,aabb_len_x,0.667
26,topo_vertex_count,0.6735
27,tfbb_planarity,0.6652
28,aabb_len_z,0.6798
29,tfbb_ratio_01,0.6652
30,topo_unique_edge_count,0.6691
31,tfbb_ratio_12,0.6792
32,geom_volume,0.6687
33,mat_metall,0.6731
34,tfbb_volume,0.6734
35,topo_vertex_edge_ratio,0.6776
36,aabb_ratio_x_y,0.6682
37,aabb_len_y,0.6788
38,aabb_volume,0.6767
39,horizontal_elements_above,0.6782
40,aabb_max_x,0.6798
41,aabb_max_y,0.6771
42,horizontal_elements_below,0.6951
43,tfbb_primary_ax_y,0.6846
44,topo_euler_characteristic,0.6824
45,topo_connected_components,0.6872
46,mat_holz,0.6836
47,aabb_min_y,0.6801
48,tfbb_primary_ax_z,0.6872
49,geom_centroid_x,0.6906
50,geom_centroid_y,0.6964
51,mat_belag,0.6925
52,mat_allgemein,0.6977
53,aabb_min_x,0.6878
54,mat_aluminium,0.7016
55,mat_beton,0.6961
56,tfbb_primary_ax_x,0.7054
57,mat_kunststein,0.7021
58,mat_stahl,0.7005
59,mat_dämm,0.6956
60,mat_bekleidung,0.7017
61,mat_kies,0.705
62,mat_gips,0.7017
63,mat_zement,0.6942
64,mat_werkstoff,0.7032
65,mat_backstein,0.7032
66,mat_naturstein,0.7034
67,mat_glas,0.6971
68,mat_keramik,0.6945
69,mat_kalksandstein,0.7031
70,mat_putz,0.7008
71,mat_mörtel,0.699
72,mat_foamglas,0.7076
73,mat_kunststoff,0.7001
